id_compra,id_jugador,id_juego,monto,fecha
1945,1663,193,58.08,6/17/2025
2918,3005,121,58.08,2/27/2025
5697,3243,79,58.08,3/1/2025
4387,16,253,58.07,6/4/2025
6117,4348,201,58.07,4/7/2025
3951,1992,283,58.06,6/2/2025
5845,,4,58.06,1/22/2025
2191,825,281,58.05,3/28/2025
7163,652,18,58.05,5/4/2025
557,738,190,58.04,1/27/2025
1393,1785,120,58.03,5/12/2025
633,1531,258,58,6/12/2025
1874,2227,230,58,3/12/2025
6927,2235,307,58,5/3/2025
1987,4464,56,57.99,4/3/2025
3966,3600,316,57.99,2/2/2025
4314,1487,273,57.99,2/3/2025
2391,574,170,57.98,5/16/2025
6078,2666,169,57.98,3/4/2025
1388,2274,116,57.94,4/3/2025
2875,1,155,57.93,6/20/2025
4455,2011,233,57.91,5/24/2025
190,3613,339,57.89,4/29/2025
5641,2626,33,57.86,3/27/2025
7216,4567,93,57.86,3/9/2025
3,4291,101,57.85,4/1/2025
6368,2130,69,57.85,1/23/2025
7480,4055,45,57.84,3/20/2025
5380,3779,283,57.81,4/22/2025
7242,3771,90,57.81,4/4/2025
7057,4178,164,57.8,5/26/2025
7983,3470,166,57.8,2/3/2025
1608,4798,296,57.79,5/3/2025
3743,3206,336,57.79,1/15/2025
2513,3993,97,57.78,3/6/2025
5477,4385,68,57.78,1/14/2025
1491,2195,100,57.77,12/26/2024
7861,3737,109,57.77,5/17/2025
6256,4210,193,57.76,3/17/2025
617,4905,164,57.75,6/16/2025
5540,1318,143,57.75,4/19/2025
6136,1394,248,57.73,1/12/2025
7083,3481,147,57.73,5/3/2025
2590,3077,324,57.72,3/1/2025
5051,2299,185,57.71,4/18/2025
1803,217,175,57.7,4/26/2025
6031,1937,256,57.7,4/8/2025
6473,2809,209,57.7,6/9/2025
5101,2463,347,57.69,3/26/2025
1108,245,332,57.68,4/10/2025
1684,2298,144,57.66,5/2/2025
3874,1469,75,57.65,3/22/2025
3218,3276,67,57.64,12/24/2024
5554,561,105,57.64,1/29/2025
4302,4172,349,57.62,1/22/2025
5667,2564,306,57.61,4/22/2025
7352,4092,284,57.61,3/21/2025
6626,3389,335,57.6,4/14/2025
3115,2780,268,57.59,4/11/2025
3220,4431,108,57.59,3/30/2025
3071,2103,36,57.58,2/27/2025
4037,708,104,57.56,3/8/2025
4932,2432,298,57.56,4/29/2025
5831,,67,57.54,2/13/2025
2219,4108,64,57.53,6/10/2025
6310,2365,126,57.53,2/4/2025
1459,1215,104,57.51,5/12/2025
3314,1714,276,57.47,1/20/2025
7041,4976,3,57.46,4/27/2025
3896,2669,67,57.43,2/18/2025
3455,1049,210,57.42,6/15/2025
4683,4914,183,57.42,1/16/2025
7373,4712,109,57.41,3/26/2025
3781,3651,97,57.4,3/25/2025
5815,1776,86,57.39,4/24/2025
1453,4910,340,57.35,5/1/2025
4695,2000,122,57.32,2/9/2025
7641,3456,163,57.32,2/16/2025
5740,189,145,57.3,1/4/2025
6303,3378,3,57.3,4/16/2025
1306,943,241,57.28,3/26/2025
3183,4228,96,57.28,4/2/2025
109,117,120,57.27,2/8/2025
1371,4630,47,57.27,3/17/2025
6332,2831,253,57.27,5/11/2025
2778,2283,39,57.26,1/8/2025
5684,1207,306,57.25,4/29/2025
1891,4655,269,57.24,4/20/2025
6999,1527,295,57.24,3/28/2025
841,1542,102,57.23,3/2/2025
1340,1216,231,57.23,5/17/2025
1575,467,81,57.23,1/12/2025
986,32,336,57.22,4/26/2025
3860,1880,93,57.22,5/5/2025
7538,669,273,57.21,6/12/2025
2454,3819,294,57.2,6/19/2025
3358,4424,159,57.2,6/3/2025
4596,2644,204,57.2,5/19/2025
1331,,100,57.19,4/26/2025
3489,941,52,57.17,5/15/2025
7716,4509,258,57.17,3/12/2025
1648,4341,63,57.16,2/27/2025
2868,303,154,57.16,5/12/2025
6817,3453,278,57.13,3/26/2025
6939,4908,222,57.12,6/2/2025
650,4539,285,57.11,6/21/2025
3982,3868,305,57.1,6/17/2025
5375,1929,59,57.1,1/9/2025
6671,1596,305,57.1,2/14/2025
2938,4930,293,57.09,3/16/2025
6477,3976,231,57.09,3/13/2025
4197,4193,197,57.07,2/26/2025
2586,305,106,57.06,2/14/2025
3856,1595,78,57.05,4/16/2025
4601,1385,73,57.05,3/14/2025
6786,4608,129,57.05,5/4/2025
7426,4391,41,57.05,4/21/2025
426,,41,57.02,3/12/2025
4174,119,159,57.02,1/6/2025
6531,1654,310,57.01,3/11/2025
6980,4944,327,57.01,3/29/2025
621,,103,57,5/19/2025
1083,1016,120,56.99,4/22/2025
2497,2060,322,56.98,4/18/2025
2821,3062,112,56.98,1/29/2025
7926,2357,328,56.98,1/13/2025
357,2463,226,56.97,1/23/2025
5071,4258,180,56.97,3/5/2025
4880,4577,7,56.96,1/26/2025
3076,3060,129,56.95,6/9/2025
2861,1726,138,56.94,12/24/2024
159,1153,62,56.92,6/14/2025
2951,4644,328,56.92,4/26/2025
1199,2667,284,56.9,2/28/2025
6419,2681,8,56.9,5/9/2025
2972,276,84,56.89,6/7/2025
177,371,230,56.88,5/29/2025
6242,333,313,56.88,2/10/2025
979,1548,151,56.87,3/8/2025
1157,2611,209,56.86,6/16/2025
2108,1895,183,56.86,1/7/2025
7963,496,5,56.86,2/2/2025
2375,2315,309,56.84,12/25/2024
5390,1800,43,56.84,5/17/2025
5434,4102,172,56.84,12/25/2024
6122,286,3,56.84,5/30/2025
6125,4594,15,56.84,3/7/2025
4854,2984,44,56.83,6/16/2025
7125,2477,39,56.83,5/2/2025
5608,717,155,56.78,2/25/2025
1017,,327,56.76,2/24/2025
1298,480,173,56.75,1/12/2025
2545,4874,4,56.75,6/5/2025
113,836,232,56.73,4/14/2025
805,126,43,56.73,5/13/2025
5700,4045,319,56.73,6/15/2025
634,1252,283,56.72,2/20/2025
3963,4910,316,56.72,5/17/2025
6744,938,131,56.72,4/4/2025
7872,4041,174,56.72,1/10/2025
3454,,206,56.71,1/25/2025
4106,681,297,56.68,3/18/2025
4266,2802,217,56.67,1/19/2025
3406,3027,269,56.66,3/8/2025
4317,1260,151,56.65,6/4/2025
4375,3821,308,56.65,5/13/2025
2271,1556,179,56.61,2/22/2025
1377,517,52,56.6,4/1/2025
1699,103,205,56.6,2/13/2025
75,333,6,56.59,12/25/2024
794,2904,61,56.58,3/28/2025
2155,1871,332,56.58,6/2/2025
7613,,185,56.58,3/22/2025
5092,806,131,56.57,1/21/2025
4404,3807,337,56.56,5/15/2025
3352,3367,311,56.55,2/24/2025
4122,4007,109,56.55,3/10/2025
1426,4809,91,56.54,4/14/2025
542,2322,277,56.53,6/2/2025
1304,995,195,56.53,3/8/2025
1813,865,108,56.53,12/30/2024
2075,3260,16,56.53,3/17/2025
4474,3719,56,56.53,5/25/2025
5284,103,230,56.52,6/19/2025
2307,1225,227,56.5,1/17/2025
4823,4619,163,56.5,4/23/2025
1407,448,3,56.48,6/7/2025
1587,3795,21,56.45,5/9/2025
6405,2166,335,56.45,2/3/2025
5506,958,240,56.44,5/22/2025
1456,1782,219,56.41,5/31/2025
3347,3606,158,56.41,4/19/2025
63,938,316,56.39,5/21/2025
521,1505,75,56.35,6/2/2025
5886,4156,30,56.34,1/23/2025
2834,727,340,56.33,2/23/2025
5704,304,281,56.33,6/3/2025
7193,3241,235,56.33,2/6/2025
7298,3814,180,56.33,5/12/2025
1942,3461,7,56.31,4/22/2025
6776,816,249,56.3,3/17/2025
1976,2016,304,56.27,6/17/2025
4099,3953,16,56.27,6/19/2025
767,,193,56.26,1/22/2025
1337,3836,298,56.26,2/7/2025
6037,4446,108,56.26,2/21/2025
6172,1637,288,56.24,5/30/2025
4991,90,123,56.23,3/21/2025
7563,1147,339,56.23,4/4/2025
1119,2458,333,56.22,4/2/2025
2862,2410,325,56.22,2/23/2025
975,4920,92,56.19,4/7/2025
4279,1153,71,56.19,3/29/2025
6637,132,91,56.18,6/14/2025
7153,4051,300,56.16,4/18/2025
3258,3326,190,56.15,4/6/2025
2166,205,19,56.14,4/20/2025
2439,2147,110,56.14,2/27/2025
4450,503,202,56.14,3/11/2025
7628,4907,250,56.13,5/29/2025
6750,1717,46,56.09,2/5/2025
1952,2523,238,56.08,5/3/2025
5653,2505,328,56.07,3/2/2025
1282,3276,319,56.06,5/25/2025
7377,4458,257,56.06,4/14/2025
7952,91,36,56.06,2/4/2025
4255,4802,174,56.05,5/25/2025
6845,440,51,56.04,12/28/2024
2648,,263,56.01,3/18/2025
5059,621,228,56.01,6/14/2025
1895,890,344,56,3/31/2025
5686,1311,126,55.99,5/22/2025
3902,1103,48,55.97,5/24/2025
706,2958,112,55.95,4/10/2025
5128,1955,252,55.95,5/1/2025
2598,2016,283,55.94,4/21/2025
3741,1026,13,55.94,2/13/2025
1250,3458,303,55.93,4/9/2025
7504,9,176,55.93,1/6/2025
4970,665,220,55.92,2/6/2025
5394,4922,233,55.92,6/10/2025
5750,402,174,55.92,4/25/2025
2857,1307,54,55.88,5/11/2025
6869,4090,177,55.88,3/7/2025
7500,1501,164,55.88,1/3/2025
538,2426,115,55.87,3/15/2025
4026,2647,314,55.86,6/14/2025
7133,4581,59,55.86,3/3/2025
619,1535,306,55.85,5/16/2025
695,2706,228,55.85,4/26/2025
3492,273,321,55.85,3/12/2025
5183,,270,55.84,4/5/2025
3425,209,270,55.83,5/29/2025
5781,415,280,55.83,5/11/2025
5388,3124,158,55.81,4/20/2025
2543,445,69,55.79,5/19/2025
4167,1701,282,55.79,5/9/2025
2280,900,119,55.77,1/4/2025
2425,1027,66,55.77,2/28/2025
2869,1881,331,55.77,4/30/2025
6638,3671,285,55.76,6/11/2025
817,1606,213,55.75,5/29/2025
1421,3769,140,55.75,4/19/2025
2272,3681,160,55.74,2/13/2025
3677,300,286,55.74,6/8/2025
5617,13,131,55.73,2/15/2025
2928,3843,296,55.72,2/16/2025
1859,632,277,55.71,2/3/2025
5030,4478,322,55.71,2/4/2025
40,3618,345,55.69,1/15/2025
2135,396,284,55.69,4/23/2025
4720,3542,155,55.69,1/3/2025
5838,335,331,55.69,1/6/2025
6186,3809,254,55.69,5/26/2025
1080,2076,122,55.68,2/18/2025
4750,4739,279,55.68,3/3/2025
4344,3797,297,55.67,6/2/2025
7648,,132,55.65,1/8/2025
4674,1739,205,55.63,6/6/2025
5857,696,166,55.62,4/11/2025
2988,854,262,55.59,2/28/2025
4465,1333,197,55.59,4/24/2025
6276,,145,55.59,5/15/2025
6940,232,86,55.59,6/8/2025
440,2865,36,55.58,3/15/2025
1251,2480,117,55.57,3/1/2025
5850,1266,124,55.57,3/9/2025
7449,2914,54,55.57,4/21/2025
2160,2327,194,55.56,2/3/2025
6540,4000,220,55.54,3/5/2025
2069,5000,155,55.53,5/11/2025
4152,4494,332,55.51,5/18/2025
1708,1020,187,55.5,3/23/2025
3257,4742,194,55.5,12/24/2024
4454,655,290,55.47,2/2/2025
3191,2221,42,55.45,5/1/2025
173,3488,6,55.43,2/2/2025
7517,,173,55.43,6/19/2025
5006,2794,156,55.42,1/13/2025
185,,80,55.4,2/17/2025
1643,1282,271,55.38,3/21/2025
3329,514,76,55.38,5/18/2025
3590,,1,55.38,1/17/2025
2872,,172,55.37,3/16/2025
1463,4326,131,55.36,1/7/2025
4772,3110,298,55.36,2/10/2025
6739,4922,306,55.36,1/11/2025
4704,2580,16,55.35,5/19/2025
7723,4957,306,55.35,2/27/2025
4239,4956,161,55.34,2/3/2025
2276,2022,180,55.25,1/10/2025
2885,206,115,55.23,12/26/2024
5718,3457,313,55.23,2/15/2025
665,4902,271,55.22,4/15/2025
5448,1938,112,55.22,6/18/2025
1517,4548,269,55.21,12/24/2024
2084,2469,339,55.21,2/27/2025
6564,1433,251,55.21,2/10/2025
5175,,239,55.2,4/2/2025
5762,1347,263,55.2,4/21/2025
42,1707,348,55.19,4/19/2025
319,3067,275,55.19,12/25/2024
854,1897,225,55.19,2/7/2025
5611,2418,312,55.19,1/14/2025
5879,4019,152,55.19,3/7/2025
457,2333,22,55.18,2/4/2025
4370,186,287,55.18,2/19/2025
1022,4401,199,55.17,4/15/2025
6646,,237,55.17,4/10/2025
5281,4982,282,55.16,3/6/2025
3169,2818,327,55.15,3/8/2025
7155,3996,267,55.14,5/5/2025
7492,3349,87,55.11,4/26/2025
1470,4421,217,55.1,2/16/2025
6710,4656,12,55.08,3/17/2025
1448,3101,137,55.07,3/13/2025
3202,2767,249,55.06,2/2/2025
1069,1335,31,55.05,5/23/2025
2040,1208,255,55.05,1/30/2025
3615,4140,314,55.05,1/8/2025
7751,4258,148,55.05,1/17/2025
565,1429,21,55.04,5/14/2025
3194,1861,259,55.03,1/12/2025
5578,653,225,55.01,1/5/2025
1476,1400,183,54.99,3/13/2025
2634,101,50,54.99,3/24/2025
1003,2743,323,54.98,6/14/2025
3332,295,296,54.96,2/22/2025
4235,4383,161,54.96,2/19/2025
4688,956,270,54.96,1/22/2025
395,4887,26,54.93,3/5/2025
974,1257,94,54.92,4/18/2025
5039,2782,45,54.92,1/14/2025
6043,,229,54.92,4/28/2025
7999,643,263,54.92,1/10/2025
7479,3709,203,54.9,4/16/2025
7745,3667,238,54.89,3/31/2025
1480,1488,286,54.88,5/6/2025
1905,979,66,54.87,6/1/2025
6148,3857,79,54.87,6/7/2025
6851,3183,320,54.86,4/11/2025
7015,3113,19,54.85,1/15/2025
7067,1882,282,54.85,3/24/2025
5010,3088,138,54.83,2/8/2025
5580,4779,180,54.82,3/14/2025
7201,,345,54.82,6/6/2025
1145,,3,54.81,3/2/2025
4742,2608,337,54.81,5/1/2025
1641,4285,273,54.8,5/16/2025
5527,,225,54.8,2/2/2025
6137,621,207,54.8,5/14/2025
7506,3243,68,54.78,5/18/2025
3044,571,118,54.74,2/20/2025
5026,4299,264,54.74,1/7/2025
5087,3614,228,54.73,3/16/2025
6274,175,321,54.73,1/20/2025
5570,958,246,54.71,5/6/2025
6969,,136,54.71,5/13/2025
1980,130,182,54.7,4/17/2025
1989,,88,54.7,5/12/2025
3237,3856,324,54.7,6/10/2025
7717,1866,287,54.69,4/8/2025
294,3040,165,54.68,1/15/2025
3632,2195,196,54.68,5/21/2025
116,652,207,54.66,3/6/2025
2617,1626,285,54.66,2/14/2025
6126,2499,151,54.66,4/24/2025
1733,2097,27,54.65,1/30/2025
1959,719,321,54.65,12/28/2024
7795,287,335,54.65,1/31/2025
3281,3502,332,54.63,1/8/2025
3683,1484,338,54.63,3/10/2025
1706,601,174,54.62,4/28/2025
3023,3837,233,54.62,12/25/2024
7554,749,165,54.62,1/26/2025
3673,2377,98,54.61,3/16/2025
6962,1215,288,54.61,2/7/2025
4047,1749,35,54.59,6/14/2025
3527,2000,75,54.58,4/19/2025
238,1788,104,54.56,3/9/2025
2889,600,263,54.56,4/6/2025
5579,,225,54.56,2/11/2025
7566,2216,182,54.56,2/27/2025
1200,274,239,54.55,3/12/2025
2723,4526,91,54.55,6/14/2025
3609,732,298,54.53,6/9/2025
7036,113,100,54.53,1/27/2025
4806,3577,290,54.51,2/28/2025
5934,2734,10,54.51,1/18/2025
246,3119,243,54.5,1/19/2025
728,188,247,54.5,5/17/2025
4045,13,91,54.5,12/27/2024
5079,4527,291,54.5,5/30/2025
6719,4538,348,54.5,4/17/2025
7331,934,215,54.5,4/15/2025
131,1414,164,54.48,2/28/2025
388,3730,334,54.47,6/6/2025
6338,3084,148,54.47,1/11/2025
944,,285,54.46,1/22/2025
2749,4968,27,54.46,2/12/2025
5072,3385,91,54.46,6/6/2025
3761,2802,192,54.45,3/22/2025
2721,2920,6,54.44,5/9/2025
184,3029,14,54.42,2/13/2025
2761,1708,267,54.42,2/22/2025
79,1266,70,54.41,3/16/2025
5678,4739,47,54.41,4/21/2025
5627,360,120,54.4,2/11/2025
6222,2541,310,54.4,3/5/2025
7320,1529,95,54.4,5/22/2025
2423,2941,256,54.38,3/7/2025
2471,1638,134,54.38,4/17/2025
1748,4524,9,54.37,3/8/2025
5363,3865,187,54.37,5/26/2025
731,286,80,54.36,3/1/2025
2285,4255,91,54.36,1/5/2025
3416,226,58,54.36,3/14/2025
5633,3189,207,54.36,1/7/2025
6008,1206,49,54.36,1/19/2025
744,1561,218,54.35,5/11/2025
2328,2834,134,54.34,1/25/2025
6600,1302,132,54.33,4/16/2025
3496,4349,155,54.32,3/4/2025
7220,3618,3,54.32,3/7/2025
6057,4454,122,54.31,6/16/2025
6724,2465,243,54.3,1/1/2025
303,2908,119,54.29,4/10/2025
3744,3147,40,54.27,1/26/2025
1074,972,276,54.26,3/16/2025
1243,1084,301,54.26,2/21/2025
1829,,345,54.25,3/1/2025
3938,,50,54.25,5/16/2025
2323,3952,219,54.24,5/4/2025
5792,4791,25,54.24,5/13/2025
1917,77,234,54.21,3/11/2025
2214,1555,341,54.21,3/8/2025
3746,1806,284,54.21,4/16/2025
1612,,71,54.19,4/6/2025
4078,112,179,54.17,4/27/2025
4097,2838,239,54.17,3/16/2025
5322,1295,201,54.16,4/11/2025
4246,2073,110,54.15,3/1/2025
6559,,345,54.15,2/5/2025
2268,40,263,54.1,12/28/2024
4856,4370,343,54.09,1/11/2025
1418,4755,305,54.08,5/26/2025
459,3820,130,54.07,6/20/2025
1618,293,202,54.06,6/2/2025
382,3874,232,54.05,3/30/2025
5496,846,291,54.02,2/16/2025
6192,,44,54.01,2/9/2025
851,3804,71,54,1/9/2025
2335,49,183,54,1/31/2025
2183,3816,106,53.94,1/26/2025
1332,1109,38,53.93,4/5/2025
4423,2354,67,53.93,5/29/2025
5717,188,215,53.93,4/1/2025
811,4058,226,53.92,3/10/2025
2184,3954,223,53.91,1/4/2025
2139,2547,111,53.9,5/1/2025
806,1292,211,53.89,5/30/2025
865,,60,53.89,4/20/2025
6292,3787,5,53.89,4/15/2025
1024,819,214,53.87,3/1/2025
2,4440,159,53.86,4/21/2025
6578,3809,41,53.86,3/18/2025
3659,4315,186,53.85,5/13/2025
4049,2647,210,53.83,6/19/2025
5005,4359,94,53.83,5/12/2025
6691,122,187,53.83,12/24/2024
7451,2311,322,53.82,5/10/2025
6926,2923,218,53.81,5/29/2025
6032,3080,134,53.8,6/12/2025
7473,1205,188,53.79,6/19/2025
7730,4622,220,53.78,6/10/2025
661,4037,195,53.77,4/8/2025
6184,2148,306,53.76,4/15/2025
978,1575,144,53.72,1/7/2025
5354,990,319,53.72,2/20/2025
1204,4346,109,53.71,5/3/2025
4340,3457,71,53.71,3/26/2025
6103,2611,217,53.71,1/24/2025
1032,1152,36,53.7,3/19/2025
1280,4700,100,53.7,1/25/2025
3804,3112,101,53.7,4/11/2025
2458,3524,41,53.69,5/14/2025
5008,19,232,53.69,5/1/2025
7991,2530,313,53.69,5/28/2025
1782,3439,314,53.66,1/15/2025
4512,1187,140,53.66,12/30/2024
1394,4047,204,53.65,12/30/2024
1772,4195,30,53.64,1/17/2025
6018,4444,118,53.63,3/1/2025
7224,3891,328,53.62,3/12/2025
2923,358,92,53.61,5/22/2025
3873,,127,53.61,2/18/2025
7970,3554,105,53.61,2/22/2025
1457,1446,215,53.59,6/5/2025
3075,3601,102,53.59,5/1/2025
1218,71,209,53.58,5/12/2025
6221,1058,149,53.57,4/2/2025
6850,3052,347,53.53,2/27/2025
7056,1011,46,53.53,4/15/2025
4738,457,146,53.5,12/29/2024
5103,4451,77,53.49,2/21/2025
6042,,329,53.49,6/6/2025
1121,1983,135,53.47,4/22/2025
4091,168,223,53.47,5/11/2025
1458,657,145,53.45,3/24/2025
7677,3698,103,53.45,3/22/2025
5903,3034,4,53.44,3/19/2025
4406,2854,298,53.4,4/3/2025
4563,3246,262,53.4,4/17/2025
7092,4933,324,53.4,3/27/2025
2261,1093,102,53.39,1/11/2025
152,1428,181,53.38,5/10/2025
2840,1644,198,53.37,6/3/2025
