id_jugador,id_juego,puntuacion,fecha
2622,169,2,5/6/2025
1394,35,4,1/1/2025
2388,265,7,8/5/2024
2746,93,1,8/29/2024
3544,260,9,2/3/2025
2468,173,,9/26/2024
1139,312,2,7/12/2024
381,339,9,9/10/2024
2716,249,10,8/19/2024
104,178,2,7/28/2024
4397,321,7,5/17/2025
1792,118,4,8/9/2024
511,290,9,12/9/2024
911,330,5,12/23/2024
2743,17,3,9/2/2024
4095,23,9,10/30/2024
2623,288,8,2/11/2025
3390,120,5,11/5/2024
4514,236,7,2/5/2025
3527,110,,2/5/2025
2858,213,10,12/12/2024
3262,242,6,11/23/2024
3969,87,9,2/15/2025
3582,78,3,2/18/2025
1495,42,2,6/17/2025
396,53,6,4/1/2025
2061,49,3,7/15/2024
3769,112,2,9/30/2024
2208,19,3,7/17/2024
1753,5,10,11/20/2024
1850,182,4,2/16/2025
4306,300,5,6/4/2025
1083,25,7,9/17/2024
2909,132,6,11/9/2024
2068,151,3,9/23/2024
3696,137,8,11/4/2024
4298,236,7,3/15/2025
1330,137,6,1/27/2025
2197,141,6,7/13/2024
354,226,9,6/22/2024
3697,282,9,3/3/2025
826,239,9,7/6/2024
1785,234,10,12/14/2024
2577,93,8,1/10/2025
813,72,2,9/23/2024
4690,289,2,10/6/2024
1927,153,3,7/31/2024
600,230,10,8/19/2024
2315,148,1,8/16/2024
140,166,3,8/6/2024
4934,160,2,8/3/2024
2832,78,2,5/24/2025
4582,179,4,3/19/2025
2876,87,2,1/5/2025
548,276,3,8/29/2024
2211,120,8,8/10/2024
4484,64,,4/6/2025
408,182,7,5/4/2025
4234,229,,2/25/2025
2239,192,7,11/15/2024
4850,250,7,3/13/2025
2738,77,4,4/15/2025
1093,328,3,5/15/2025
3824,346,9,7/12/2024
1739,92,2,4/20/2025
3381,210,1,6/1/2025
2657,40,2,4/14/2025
2738,51,7,10/12/2024
1376,93,4,11/16/2024
2506,298,,4/29/2025
4543,15,2,12/7/2024
32,252,,2/19/2025
4207,78,10,11/19/2024
3420,195,2,1/31/2025
2721,54,3,2/12/2025
2082,279,5,4/7/2025
2373,128,7,8/30/2024
3263,290,9,12/6/2024
3207,238,5,2/19/2025
3541,295,10,10/6/2024
623,9,,9/28/2024
2745,327,1,10/25/2024
2053,44,8,5/14/2025
3780,320,,12/7/2024
2501,257,1,7/28/2024
2112,287,2,2/19/2025
1749,182,4,6/9/2025
1425,246,3,3/4/2025
1237,4,1,11/5/2024
1023,73,,8/2/2024
292,42,6,3/16/2025
798,105,3,8/25/2024
4619,318,,6/4/2025
2290,249,10,8/9/2024
4852,37,,9/24/2024
3612,109,8,11/22/2024
1825,317,4,12/23/2024
4567,318,4,8/21/2024
3997,163,8,1/17/2025
2410,21,2,9/6/2024
3375,122,4,6/29/2024
4722,51,3,11/13/2024
1942,170,9,8/9/2024
380,146,10,7/5/2024
4556,240,8,10/15/2024
4778,79,7,10/7/2024
2659,343,10,8/30/2024
1178,18,6,2/8/2025
3270,128,5,10/31/2024
2416,6,7,7/18/2024
4792,249,4,2/25/2025
4845,208,,2/14/2025
1899,108,7,4/2/2025
3216,109,5,5/11/2025
3904,178,,2/5/2025
264,127,6,10/9/2024
420,74,8,11/6/2024
4705,345,10,1/29/2025
2553,169,1,4/15/2025
4912,77,3,3/17/2025
1525,129,5,9/26/2024
4781,180,2,12/21/2024
3978,231,9,6/17/2025
18,156,4,7/18/2024
4102,218,2,5/10/2025
3992,287,9,6/14/2025
1798,68,5,7/28/2024
884,349,,7/28/2024
1263,25,4,2/23/2025
4767,109,1,5/12/2025
3725,30,3,3/9/2025
3099,311,2,9/30/2024
1641,65,6,12/3/2024
2039,159,9,9/4/2024
718,11,4,10/12/2024
1456,264,1,6/23/2024
1357,76,2,6/14/2025
699,115,3,11/28/2024
2945,245,4,3/18/2025
4575,329,3,8/2/2024
888,66,7,3/31/2025
362,35,,2/5/2025
587,153,4,11/18/2024
1642,145,7,1/27/2025
928,174,8,11/18/2024
2200,339,4,7/26/2024
3012,59,3,9/10/2024
3951,216,1,2/16/2025
3278,3,6,10/31/2024
3385,164,5,3/2/2025
4915,231,,10/21/2024
2877,19,9,11/7/2024
2741,277,,1/2/2025
182,70,10,12/22/2024
3046,88,10,11/25/2024
4637,47,6,4/3/2025
1089,125,5,12/28/2024
3271,29,4,5/28/2025
2997,52,1,1/3/2025
2602,279,6,8/31/2024
890,252,8,10/16/2024
1961,275,4,10/25/2024
3430,153,4,12/30/2024
437,42,6,12/4/2024
701,199,8,10/22/2024
808,284,,3/19/2025
941,5,1,9/2/2024
4927,147,2,2/10/2025
3315,122,2,2/21/2025
2470,155,8,10/16/2024
4051,274,,7/1/2024
2042,268,6,12/28/2024
2710,230,5,1/9/2025
1999,40,1,7/4/2024
2026,298,2,9/27/2024
3573,133,7,8/19/2024
1332,236,8,5/5/2025
1064,214,10,2/20/2025
3854,250,3,4/18/2025
1500,276,8,12/12/2024
3493,28,8,7/30/2024
1618,31,9,4/1/2025
2380,208,10,10/25/2024
2155,174,,2/9/2025
3015,45,4,2/18/2025
2145,183,4,9/14/2024
2044,331,2,8/21/2024
4831,249,1,7/15/2024
1536,33,1,11/8/2024
730,232,3,2/28/2025
4382,280,2,11/10/2024
376,179,10,11/10/2024
2566,147,3,5/9/2025
2294,347,7,10/12/2024
1873,310,4,9/21/2024
1698,56,8,3/4/2025
3228,73,6,12/1/2024
1678,280,6,7/7/2024
1480,137,3,12/17/2024
2495,183,4,9/22/2024
118,38,,3/15/2025
1998,82,2,7/7/2024
689,326,9,8/26/2024
1509,151,1,3/5/2025
4868,41,,9/3/2024
1813,202,3,12/25/2024
29,156,1,10/30/2024
2486,220,3,4/23/2025
353,47,4,1/23/2025
3450,54,9,7/20/2024
587,269,,8/21/2024
652,278,3,2/21/2025
297,253,5,9/15/2024
4034,346,1,11/3/2024
3297,80,3,4/1/2025
2047,227,7,10/24/2024
4976,346,10,12/27/2024
1840,119,6,12/25/2024
2601,252,4,8/5/2024
2891,203,3,11/28/2024
518,281,1,6/28/2024
1353,201,7,7/21/2024
1904,120,10,5/19/2025
4730,120,,7/12/2024
330,86,6,6/21/2025
2197,115,7,11/29/2024
2379,242,1,7/4/2024
4225,116,3,10/14/2024
4666,69,,7/5/2024
3392,42,6,3/7/2025
2534,246,10,8/10/2024
572,42,6,10/2/2024
2948,147,6,9/16/2024
424,244,8,3/24/2025
2867,41,9,7/12/2024
1114,5,,3/21/2025
3270,14,4,7/29/2024
598,278,7,10/8/2024
1204,153,4,6/14/2025
4298,331,1,7/2/2024
2518,107,3,6/21/2025
1371,242,9,8/8/2024
4788,160,8,3/11/2025
2699,250,10,10/24/2024
4574,20,4,11/2/2024
4604,112,3,9/16/2024
330,66,2,1/23/2025
3508,48,1,12/10/2024
1894,246,2,11/6/2024
3270,312,6,2/15/2025
3404,231,5,1/17/2025
3567,161,1,5/24/2025
4635,141,3,12/31/2024
4280,252,,12/3/2024
4413,337,5,9/4/2024
1861,152,3,11/26/2024
1187,133,9,1/1/2025
618,259,2,8/3/2024
1699,244,8,10/14/2024
379,346,9,11/30/2024
2390,112,7,6/13/2025
4431,85,6,1/16/2025
2188,141,8,1/8/2025
846,30,4,4/21/2025
2047,141,3,4/28/2025
1150,253,6,8/8/2024
3273,166,10,3/19/2025
419,236,1,10/11/2024
4210,338,3,11/15/2024
2936,94,3,12/5/2024
333,185,3,4/10/2025
1954,326,3,4/25/2025
762,238,5,7/30/2024
3890,162,3,6/8/2025
4541,31,3,8/17/2024
2611,72,9,3/25/2025
2127,37,1,10/25/2024
4226,222,1,9/9/2024
3879,275,1,6/26/2024
2882,324,5,5/6/2025
2140,36,3,10/1/2024
2358,308,4,7/8/2024
1923,108,9,4/3/2025
2813,89,5,6/12/2025
3409,315,4,10/19/2024
3733,156,4,2/3/2025
924,272,,7/27/2024
1425,136,7,7/15/2024
4175,316,3,9/20/2024
1871,280,2,3/19/2025
2040,294,1,5/15/2025
3716,271,,10/13/2024
1081,27,6,9/23/2024
1977,330,4,5/13/2025
4875,231,1,2/9/2025
2124,274,9,4/1/2025
4524,41,4,11/21/2024
115,142,5,10/8/2024
1025,83,10,11/12/2024
3835,333,1,7/4/2024
202,46,,3/24/2025
2880,175,6,11/13/2024
1231,67,4,9/24/2024
2065,199,6,2/27/2025
2975,118,2,3/6/2025
645,342,10,10/7/2024
937,249,8,4/26/2025
3185,215,,12/27/2024
4060,337,1,8/12/2024
1792,232,8,6/2/2025
3779,4,2,12/24/2024
2009,136,9,3/2/2025
4370,226,7,12/7/2024
3534,286,9,8/19/2024
2684,24,8,6/9/2025
2512,147,,11/5/2024
2889,7,8,6/23/2024
3698,255,9,12/8/2024
1306,194,1,1/10/2025
1085,334,,9/11/2024
1232,277,4,11/19/2024
4603,145,6,1/13/2025
3527,200,1,9/4/2024
3100,193,9,12/3/2024
2549,2,6,7/23/2024
2643,86,8,3/13/2025
2714,225,1,9/22/2024
1459,120,5,2/27/2025
4269,110,10,10/9/2024
3222,198,7,11/18/2024
4225,108,10,11/24/2024
3457,333,8,1/1/2025
4222,190,8,7/2/2024
2296,200,9,10/16/2024
3114,297,9,4/11/2025
3039,93,3,1/1/2025
4519,312,1,9/4/2024
3325,239,8,2/28/2025
4684,171,6,12/6/2024
4274,133,3,9/16/2024
2650,48,1,11/29/2024
96,274,8,5/14/2025
4645,40,6,8/2/2024
623,36,,10/16/2024
3236,186,7,12/10/2024
794,75,,4/23/2025
561,212,2,7/2/2024
1620,216,10,2/9/2025
4719,173,,8/25/2024
454,166,,4/27/2025
2129,263,7,7/10/2024
2831,161,7,3/18/2025
3073,18,5,4/26/2025
4439,49,9,2/1/2025
1634,305,7,6/26/2024
705,54,2,12/25/2024
1334,214,5,12/1/2024
3719,218,1,11/14/2024
1938,199,7,8/23/2024
3012,31,9,11/28/2024
607,244,8,11/1/2024
594,17,8,3/3/2025
4386,204,9,9/22/2024
2854,294,8,11/10/2024
2730,123,10,4/18/2025
4862,202,1,7/3/2024
2545,271,10,3/3/2025
2212,27,10,3/4/2025
535,322,10,11/16/2024
850,93,7,11/28/2024
1297,73,,6/7/2025
529,295,3,11/21/2024
59,179,4,3/9/2025
4532,342,,3/31/2025
113,298,3,7/25/2024
4113,38,,4/29/2025
2272,60,3,5/6/2025
1965,179,8,2/12/2025
454,88,4,1/8/2025
2098,326,5,2/7/2025
3094,136,3,3/9/2025
1514,126,4,8/17/2024
2816,186,8,12/22/2024
849,154,8,6/15/2025
519,245,6,3/1/2025
744,309,8,2/8/2025
4609,294,2,12/17/2024
2791,12,3,3/5/2025
4234,124,7,11/10/2024
1874,160,3,1/9/2025
4318,25,10,7/4/2024
2514,173,4,6/24/2024
2886,194,4,1/4/2025
1152,338,5,8/31/2024
95,76,9,5/22/2025
2820,280,6,11/29/2024
1776,275,10,10/27/2024
1665,12,10,3/27/2025
1934,317,1,4/5/2025
919,152,5,6/21/2025
1568,308,10,2/23/2025
3488,125,2,4/4/2025
2820,336,3,12/3/2024
4526,183,10,3/14/2025
4408,156,1,7/31/2024
4688,342,1,1/5/2025
2821,319,5,1/13/2025
4397,281,4,2/23/2025
1318,9,3,11/2/2024
882,98,6,1/17/2025
3742,343,4,7/21/2024
2648,164,6,11/11/2024
3782,296,1,8/22/2024
3554,62,1,10/1/2024
504,193,4,10/3/2024
3720,181,7,7/5/2024
4118,227,,4/10/2025
2954,332,7,7/8/2024
1042,312,4,3/10/2025
3129,146,,12/31/2024
4305,229,4,2/7/2025
1881,316,,11/2/2024
2417,309,,11/20/2024
2931,340,7,10/9/2024
3803,192,7,6/10/2025
260,144,4,12/25/2024
2621,214,4,7/18/2024
3631,146,7,5/16/2025
3825,320,4,3/4/2025
2475,284,7,12/23/2024
1174,224,8,5/10/2025
2124,287,3,6/21/2025
1050,26,,5/29/2025
3258,300,9,4/12/2025
2498,222,9,6/2/2025
2753,16,4,6/27/2024
3678,203,1,5/25/2025
4603,302,3,12/26/2024
1636,324,8,1/27/2025
2799,186,,5/5/2025
2556,327,8,8/5/2024
4507,82,5,9/17/2024
2947,220,10,12/29/2024
3063,145,6,2/25/2025
4897,129,2,9/12/2024
4551,54,5,12/2/2024
763,283,,5/14/2025
4791,209,7,9/17/2024
1858,217,7,2/2/2025
4392,203,6,8/19/2024
1059,193,,11/4/2024
1909,5,10,1/19/2025
2838,126,8,12/24/2024
2068,266,3,3/11/2025
4580,156,6,7/14/2024
4086,308,1,8/31/2024
3688,243,8,3/21/2025
106,102,4,8/6/2024
794,222,10,4/1/2025
2094,328,8,1/8/2025
1886,65,8,5/31/2025
4263,77,4,1/29/2025
913,16,2,6/12/2025
