id_sesion,id_jugador,id_juego,fecha_inicio,fecha_fin,duracion
29,3839,238,2025-05-04 20:32:00,2025-05-04 20:33:00,0 days 00:01:00
30,2849,47,2025-06-02 09:24:00,2025-06-02 10:02:00,0 days 00:38:00
31,4496,94,2025-04-16 18:03:00,2025-04-16 19:10:00,0 days 01:07:00
32,2245,24,2025-06-13 15:13:00,2025-06-13 16:16:00,0 days 01:03:00
33,555,11,2025-03-28 07:59:00,2025-03-28 09:21:00,0 days 01:22:00
34,1952,9,2025-05-30 08:27:00,2025-05-30 10:24:00,0 days 01:57:00
35,3863,263,2025-06-01 14:13:00,2025-06-01 16:17:00,0 days 02:04:00
36,1555,105,2025-04-26 07:21:00,2025-04-26 08:52:00,0 days 01:31:00
37,2104,270,2025-05-30 06:09:00,2025-05-30 08:27:00,0 days 02:18:00
38,3638,7,2025-04-23 15:11:00,2025-04-23 16:06:00,0 days 00:55:00
39,1115,250,2025-04-14 07:04:00,2025-04-14 07:05:00,0 days 00:01:00
41,730,30,2025-04-19 16:35:00,2025-04-19 16:53:00,0 days 00:18:00
42,3232,267,2025-03-26 13:40:00,2025-03-26 16:20:00,0 days 02:40:00
43,2151,255,2025-04-05 20:47:00,2025-04-05 22:02:00,0 days 01:15:00
44,61,348,2025-05-13 14:26:00,2025-05-13 16:52:00,0 days 02:26:00
45,4010,230,2025-04-27 02:57:00,2025-04-27 04:58:00,0 days 02:01:00
46,1865,92,2025-06-01 12:35:00,2025-06-01 15:33:00,0 days 02:58:00
47,3241,155,2025-06-20 19:37:00,2025-06-20 20:19:00,0 days 00:42:00
48,4018,305,2025-04-01 10:14:00,2025-04-01 12:05:00,0 days 01:51:00
49,4983,109,2025-05-19 03:17:00,2025-05-19 05:25:00,0 days 02:08:00
51,466,133,2025-04-15 00:17:00,2025-04-15 00:53:00,0 days 00:36:00
53,3916,38,2025-06-07 04:20:00,2025-06-07 06:31:00,0 days 02:11:00
54,3905,42,2025-06-17 03:35:00,2025-06-17 03:46:00,0 days 00:11:00
55,3743,165,2025-06-10 11:26:00,2025-06-10 11:40:00,0 days 00:14:00
56,2180,81,2025-05-02 10:23:00,2025-05-02 13:22:00,0 days 02:59:00
58,536,18,2025-04-01 22:52:00,2025-04-02 01:45:00,0 days 02:53:00
59,1180,2,2025-04-05 21:01:00,2025-04-05 23:38:00,0 days 02:37:00
60,2436,207,2025-04-05 17:30:00,2025-04-05 18:30:00,0 days 01:00:00
61,58,99999,2025-04-14 07:22:00,2025-04-14 07:41:00,0 days 00:19:00
62,959,289,2025-06-09 22:05:00,2025-06-10 00:14:00,0 days 02:09:00
63,197,235,2025-03-25 16:41:00,2025-03-25 18:46:00,0 days 02:05:00
64,1225,247,2025-05-01 03:48:00,2025-05-01 06:37:00,0 days 02:49:00
65,3136,218,2025-04-25 10:13:00,2025-04-25 11:49:00,0 days 01:36:00
66,3179,229,2025-05-31 19:07:00,2025-05-31 19:39:00,0 days 00:32:00
67,2701,120,2025-05-28 01:12:00,2025-05-28 02:05:00,0 days 00:53:00
68,2242,260,2025-06-10 03:49:00,2025-06-10 04:40:00,0 days 00:51:00
71,534,68,2025-04-07 22:36:00,2025-04-07 23:55:00,0 days 01:19:00
72,4591,283,2025-05-03 10:00:00,2025-05-03 12:32:00,0 days 02:32:00
74,1263,218,2025-04-02 22:44:00,2025-04-02 23:20:00,0 days 00:36:00
75,3859,69,2025-03-28 14:55:00,2025-03-28 15:30:00,0 days 00:35:00
76,4082,327,2025-05-17 04:15:00,2025-05-17 05:16:00,0 days 01:01:00
77,506,289,2025-04-10 05:42:00,2025-04-10 08:16:00,0 days 02:34:00
78,1605,274,2025-06-17 07:17:00,2025-06-17 07:55:00,0 days 00:38:00
79,2291,147,2025-03-31 04:06:00,2025-03-31 06:06:00,0 days 02:00:00
80,4325,135,2025-06-21 18:34:00,2025-06-21 19:16:00,0 days 00:42:00
82,2832,146,2025-06-14 19:11:00,2025-06-14 20:30:00,0 days 01:19:00
84,1579,115,2025-04-11 19:32:00,2025-04-11 21:47:00,0 days 02:15:00
85,1103,191,2025-05-08 14:57:00,2025-05-08 15:22:00,0 days 00:25:00
86,4707,217,2025-05-26 05:20:00,2025-05-26 05:56:00,0 days 00:36:00
87,4273,67,2025-04-29 22:20:00,2025-04-29 23:20:00,0 days 01:00:00
88,3460,2,2025-04-02 07:43:00,2025-04-02 09:55:00,0 days 02:12:00
90,2246,169,2025-06-18 09:46:00,2025-06-18 11:36:00,0 days 01:50:00
93,99999,127,2025-05-30 12:38:00,2025-05-30 12:53:00,0 days 00:15:00
95,3925,275,2025-05-24 00:14:00,2025-05-24 03:00:00,0 days 02:46:00
96,995,161,2025-05-02 07:35:00,2025-05-02 08:02:00,0 days 00:27:00
97,4251,333,2025-05-24 13:55:00,2025-05-24 14:26:00,0 days 00:31:00
98,2057,178,2025-04-26 00:37:00,2025-04-26 01:26:00,0 days 00:49:00
99,4345,91,2025-04-20 08:43:00,2025-04-20 09:15:00,0 days 00:32:00
100,3002,343,2025-05-21 04:43:00,2025-05-21 05:51:00,0 days 01:08:00
101,4278,139,2025-05-16 20:24:00,2025-05-16 22:42:00,0 days 02:18:00
103,1503,263,2025-04-27 08:32:00,2025-04-27 10:26:00,0 days 01:54:00
104,4319,69,2025-06-19 14:08:00,2025-06-19 16:44:00,0 days 02:36:00
105,508,325,2025-05-18 21:11:00,2025-05-18 23:31:00,0 days 02:20:00
106,4075,183,2025-06-14 01:25:00,2025-06-14 02:19:00,0 days 00:54:00
107,4145,306,2025-04-19 17:18:00,2025-04-19 17:59:00,0 days 00:41:00
108,2789,275,2025-04-20 07:18:00,2025-04-20 09:38:00,0 days 02:20:00
109,1328,344,2025-05-06 19:30:00,2025-05-06 19:44:00,0 days 00:14:00
110,437,4,2025-05-14 17:37:00,2025-05-14 18:50:00,0 days 01:13:00
111,2277,168,2025-06-12 20:35:00,2025-06-12 21:31:00,0 days 00:56:00
112,651,33,2025-05-11 17:49:00,2025-05-11 19:43:00,0 days 01:54:00
113,2256,74,2025-03-28 23:18:00,2025-03-29 01:52:00,0 days 02:34:00
114,4160,122,2025-06-03 07:43:00,2025-06-03 08:11:00,0 days 00:28:00
115,4544,107,2025-04-11 18:44:00,2025-04-11 19:36:00,0 days 00:52:00
116,2851,81,2025-05-01 14:16:00,2025-05-01 17:07:00,0 days 02:51:00
117,389,112,2025-04-23 18:46:00,2025-04-23 18:55:00,0 days 00:09:00
119,99999,268,2025-04-01 15:30:00,2025-04-01 18:05:00,0 days 02:35:00
120,3524,73,2025-05-11 01:12:00,2025-05-11 01:52:00,0 days 00:40:00
121,1627,29,2025-04-17 02:28:00,2025-04-17 04:34:00,0 days 02:06:00
122,2445,156,2025-04-21 03:00:00,2025-04-21 05:41:00,0 days 02:41:00
123,1136,171,2025-04-14 13:12:00,2025-04-14 16:03:00,0 days 02:51:00
124,3765,217,2025-05-26 14:39:00,2025-05-26 15:14:00,0 days 00:35:00
125,171,182,2025-06-12 02:59:00,2025-06-12 04:40:00,0 days 01:41:00
126,4991,65,2025-05-10 20:51:00,2025-05-10 23:25:00,0 days 02:34:00
127,3702,164,2025-04-04 17:06:00,2025-04-04 17:44:00,0 days 00:38:00
128,3555,116,2025-06-19 06:51:00,2025-06-19 08:19:00,0 days 01:28:00
129,2574,49,2025-05-14 07:29:00,2025-05-14 08:45:00,0 days 01:16:00
130,2515,306,2025-04-27 11:08:00,2025-04-27 13:04:00,0 days 01:56:00
131,580,122,2025-04-19 16:08:00,2025-04-19 16:09:00,0 days 00:01:00
132,1805,291,2025-05-13 00:03:00,2025-05-13 01:48:00,0 days 01:45:00
133,3040,280,2025-03-31 23:19:00,2025-03-31 23:34:00,0 days 00:15:00
134,4111,14,2025-05-17 16:13:00,2025-05-17 17:43:00,0 days 01:30:00
135,478,231,2025-06-06 23:17:00,2025-06-06 23:23:00,0 days 00:06:00
136,909,137,2025-05-14 19:08:00,2025-05-14 19:33:00,0 days 00:25:00
137,4840,273,2025-03-24 06:26:00,2025-03-24 06:32:00,0 days 00:06:00
139,1141,129,2025-04-26 02:34:00,2025-04-26 03:24:00,0 days 00:50:00
140,1010,53,2025-06-08 02:57:00,2025-06-08 04:02:00,0 days 01:05:00
142,3726,294,2025-05-18 20:07:00,2025-05-18 22:42:00,0 days 02:35:00
143,2515,138,2025-06-13 00:56:00,2025-06-13 03:26:00,0 days 02:30:00
144,579,119,2025-06-09 02:37:00,2025-06-09 04:27:00,0 days 01:50:00
145,1091,349,2025-05-08 22:02:00,2025-05-08 22:38:00,0 days 00:36:00
146,1198,341,2025-04-27 11:04:00,2025-04-27 11:04:00,0 days 00:00:00
148,2856,80,2025-05-14 21:26:00,2025-05-14 23:07:00,0 days 01:41:00
150,3838,145,2025-04-13 19:00:00,2025-04-13 21:01:00,0 days 02:01:00
151,3272,251,2025-03-27 03:23:00,2025-03-27 04:57:00,0 days 01:34:00
152,3764,8,2025-04-10 09:40:00,2025-04-10 12:31:00,0 days 02:51:00
153,2498,275,2025-05-11 16:35:00,2025-05-11 19:25:00,0 days 02:50:00
154,935,99999,2025-04-08 14:16:00,2025-04-08 16:11:00,0 days 01:55:00
156,4562,111,2025-06-13 11:03:00,2025-06-13 12:34:00,0 days 01:31:00
158,503,187,2025-05-20 06:48:00,2025-05-20 07:43:00,0 days 00:55:00
159,4673,296,2025-06-11 10:12:00,2025-06-11 10:43:00,0 days 00:31:00
161,4505,64,2025-05-05 13:28:00,2025-05-05 14:10:00,0 days 00:42:00
163,1586,118,2025-05-23 21:23:00,2025-05-23 22:15:00,0 days 00:52:00
164,2736,162,2025-04-30 16:35:00,2025-04-30 17:52:00,0 days 01:17:00
165,4989,18,2025-03-31 04:12:00,2025-03-31 04:38:00,0 days 00:26:00
166,1993,342,2025-05-17 07:28:00,2025-05-17 10:08:00,0 days 02:40:00
167,3669,33,2025-03-29 19:10:00,2025-03-29 20:13:00,0 days 01:03:00
168,2897,299,2025-05-10 04:42:00,2025-05-10 06:27:00,0 days 01:45:00
169,3182,184,2025-05-10 23:36:00,2025-05-11 00:54:00,0 days 01:18:00
170,968,310,2025-04-08 18:56:00,2025-04-08 20:45:00,0 days 01:49:00
172,1216,341,2025-03-28 13:03:00,2025-03-28 14:08:00,0 days 01:05:00
174,660,326,2025-06-09 17:11:00,2025-06-09 19:15:00,0 days 02:04:00
176,1275,79,2025-05-27 09:49:00,2025-05-27 10:54:00,0 days 01:05:00
177,2758,112,2025-04-21 23:34:00,2025-04-22 01:41:00,0 days 02:07:00
178,2688,312,2025-05-16 18:54:00,2025-05-16 20:49:00,0 days 01:55:00
179,799,54,2025-06-16 18:16:00,2025-06-16 21:09:00,0 days 02:53:00
180,4233,59,2025-05-05 16:43:00,2025-05-05 17:00:00,0 days 00:17:00
182,453,242,2025-04-05 16:12:00,2025-04-05 17:02:00,0 days 00:50:00
184,1536,312,2025-04-26 11:55:00,2025-04-26 14:35:00,0 days 02:40:00
185,964,12,2025-05-09 10:02:00,2025-05-09 12:00:00,0 days 01:58:00
186,1619,133,2025-05-15 13:21:00,2025-05-15 15:15:00,0 days 01:54:00
187,4051,213,2025-05-17 18:32:00,2025-05-17 19:56:00,0 days 01:24:00
188,4202,321,2025-05-15 09:29:00,2025-05-15 11:40:00,0 days 02:11:00
189,3534,171,2025-03-26 12:55:00,2025-03-26 13:29:00,0 days 00:34:00
190,4190,275,2025-04-30 00:51:00,2025-04-30 03:50:00,0 days 02:59:00
192,4878,40,2025-06-20 14:55:00,2025-06-20 15:34:00,0 days 00:39:00
193,1026,82,2025-04-19 00:04:00,2025-04-19 02:36:00,0 days 02:32:00
194,1240,109,2025-05-21 12:45:00,2025-05-21 14:21:00,0 days 01:36:00
195,1492,143,2025-04-22 16:19:00,2025-04-22 16:19:00,0 days 00:00:00
196,288,48,2025-06-08 23:05:00,2025-06-09 01:18:00,0 days 02:13:00
198,99999,178,2025-04-22 10:28:00,2025-04-22 11:43:00,0 days 01:15:00
199,1599,115,2025-05-12 04:32:00,2025-05-12 07:02:00,0 days 02:30:00
200,3389,277,2025-03-27 07:27:00,2025-03-27 09:45:00,0 days 02:18:00
201,535,333,2025-05-01 11:43:00,2025-05-01 14:19:00,0 days 02:36:00
202,558,198,2025-05-14 20:27:00,2025-05-14 21:20:00,0 days 00:53:00
203,327,210,2025-06-15 12:21:00,2025-06-15 14:04:00,0 days 01:43:00
204,3538,4,2025-04-01 05:16:00,2025-04-01 06:48:00,0 days 01:32:00
205,889,162,2025-04-04 03:17:00,2025-04-04 05:22:00,0 days 02:05:00
206,303,99999,2025-05-07 00:40:00,2025-05-07 01:10:00,0 days 00:30:00
207,93,100,2025-06-02 03:23:00,2025-06-02 03:48:00,0 days 00:25:00
208,4004,130,2025-04-04 02:23:00,2025-04-04 04:11:00,0 days 01:48:00
209,1195,127,2025-06-03 01:27:00,2025-06-03 01:43:00,0 days 00:16:00
211,386,223,2025-05-01 20:18:00,2025-05-01 20:31:00,0 days 00:13:00
212,941,36,2025-04-04 09:40:00,2025-04-04 11:46:00,0 days 02:06:00
213,3854,337,2025-05-07 11:49:00,2025-05-07 12:30:00,0 days 00:41:00
214,4384,176,2025-06-04 20:52:00,2025-06-04 22:31:00,0 days 01:39:00
215,3390,278,2025-06-15 05:13:00,2025-06-15 05:31:00,0 days 00:18:00
216,2542,44,2025-06-18 19:57:00,2025-06-18 20:52:00,0 days 00:55:00
217,2801,283,2025-06-13 07:28:00,2025-06-13 09:20:00,0 days 01:52:00
218,2001,154,2025-05-25 12:54:00,2025-05-25 15:23:00,0 days 02:29:00
219,4895,311,2025-05-02 11:43:00,2025-05-02 12:51:00,0 days 01:08:00
221,1386,203,2025-05-06 20:04:00,2025-05-06 21:40:00,0 days 01:36:00
222,3332,253,2025-05-18 15:46:00,2025-05-18 17:00:00,0 days 01:14:00
223,3379,190,2025-05-15 22:27:00,2025-05-15 22:42:00,0 days 00:15:00
224,834,84,2025-05-28 20:06:00,2025-05-28 22:51:00,0 days 02:45:00
225,1929,324,2025-03-29 05:57:00,2025-03-29 08:07:00,0 days 02:10:00
227,4945,89,2025-05-18 15:55:00,2025-05-18 18:50:00,0 days 02:55:00
229,2072,230,2025-04-13 23:24:00,2025-04-14 02:01:00,0 days 02:37:00
230,3059,289,2025-05-11 21:20:00,2025-05-11 22:44:00,0 days 01:24:00
231,1400,138,2025-06-13 00:36:00,2025-06-13 03:17:00,0 days 02:41:00
233,2485,294,2025-04-04 08:51:00,2025-04-04 11:19:00,0 days 02:28:00
234,2019,118,2025-05-12 08:40:00,2025-05-12 10:58:00,0 days 02:18:00
235,2104,213,2025-06-16 04:59:00,2025-06-16 07:40:00,0 days 02:41:00
236,4907,100,2025-06-08 21:15:00,2025-06-08 23:02:00,0 days 01:47:00
237,4628,121,2025-04-06 14:02:00,2025-04-06 14:48:00,0 days 00:46:00
238,2729,230,2025-05-17 03:03:00,2025-05-17 04:01:00,0 days 00:58:00
239,4145,166,2025-06-07 17:55:00,2025-06-07 19:54:00,0 days 01:59:00
240,4615,252,2025-06-14 08:33:00,2025-06-14 08:43:00,0 days 00:10:00
241,112,10,2025-06-04 10:38:00,2025-06-04 13:25:00,0 days 02:47:00
242,2578,267,2025-05-28 04:40:00,2025-05-28 04:45:00,0 days 00:05:00
244,4507,297,2025-04-04 02:06:00,2025-04-04 02:07:00,0 days 00:01:00
245,94,232,2025-04-08 00:56:00,2025-04-08 02:21:00,0 days 01:25:00
246,1903,324,2025-06-05 01:28:00,2025-06-05 03:44:00,0 days 02:16:00
247,1764,92,2025-05-10 16:46:00,2025-05-10 17:50:00,0 days 01:04:00
248,1703,255,2025-06-11 12:50:00,2025-06-11 15:42:00,0 days 02:52:00
249,4244,190,2025-06-11 15:28:00,2025-06-11 16:05:00,0 days 00:37:00
250,4548,97,2025-05-31 14:40:00,2025-05-31 15:14:00,0 days 00:34:00
251,1534,226,2025-04-27 13:38:00,2025-04-27 13:59:00,0 days 00:21:00
252,3227,286,2025-04-28 17:23:00,2025-04-28 18:50:00,0 days 01:27:00
253,2448,65,2025-06-13 09:27:00,2025-06-13 10:56:00,0 days 01:29:00
254,3615,14,2025-04-16 04:10:00,2025-04-16 04:49:00,0 days 00:39:00
255,594,46,2025-04-10 09:40:00,2025-04-10 10:39:00,0 days 00:59:00
256,3226,293,2025-06-09 12:04:00,2025-06-09 14:02:00,0 days 01:58:00
257,2793,233,2025-06-12 18:10:00,2025-06-12 20:44:00,0 days 02:34:00
258,1304,318,2025-06-12 06:57:00,2025-06-12 08:36:00,0 days 01:39:00
259,2463,234,2025-05-11 00:36:00,2025-05-11 02:00:00,0 days 01:24:00
260,4937,115,2025-06-09 15:34:00,2025-06-09 17:40:00,0 days 02:06:00
261,4892,88,2025-04-30 19:26:00,2025-04-30 20:53:00,0 days 01:27:00
262,4608,145,2025-06-03 11:09:00,2025-06-03 13:37:00,0 days 02:28:00
263,4736,224,2025-04-11 13:38:00,2025-04-11 16:22:00,0 days 02:44:00
264,2539,71,2025-05-26 09:35:00,2025-05-26 11:15:00,0 days 01:40:00
265,2931,212,2025-04-05 23:45:00,2025-04-06 00:15:00,0 days 00:30:00
266,3670,147,2025-06-08 05:26:00,2025-06-08 07:41:00,0 days 02:15:00
267,2769,10,2025-06-03 08:07:00,2025-06-03 09:22:00,0 days 01:15:00
268,4833,150,2025-05-08 05:06:00,2025-05-08 06:40:00,0 days 01:34:00
269,2405,235,2025-05-25 00:32:00,2025-05-25 03:19:00,0 days 02:47:00
270,783,282,2025-05-26 21:25:00,2025-05-26 23:30:00,0 days 02:05:00
271,3302,335,2025-03-28 06:14:00,2025-03-28 08:46:00,0 days 02:32:00
272,151,229,2025-04-02 13:00:00,2025-04-02 13:28:00,0 days 00:28:00
273,4112,124,2025-06-04 06:58:00,2025-06-04 07:28:00,0 days 00:30:00
274,2594,60,2025-06-06 22:39:00,2025-06-07 01:32:00,0 days 02:53:00
275,4483,262,2025-05-13 11:13:00,2025-05-13 12:03:00,0 days 00:50:00
276,256,339,2025-04-23 00:48:00,2025-04-23 02:53:00,0 days 02:05:00
277,4836,27,2025-03-26 17:47:00,2025-03-26 18:53:00,0 days 01:06:00
278,3108,137,2025-06-18 17:49:00,2025-06-18 18:47:00,0 days 00:58:00
279,2034,198,2025-06-17 18:47:00,2025-06-17 18:54:00,0 days 00:07:00
281,307,216,2025-06-08 19:29:00,2025-06-08 21:33:00,0 days 02:04:00
282,2780,273,2025-04-24 10:06:00,2025-04-24 12:44:00,0 days 02:38:00
283,694,221,2025-05-20 06:07:00,2025-05-20 08:58:00,0 days 02:51:00
285,4816,75,2025-03-25 06:45:00,2025-03-25 08:52:00,0 days 02:07:00
286,982,211,2025-05-08 00:00:00,2025-05-08 01:06:00,0 days 01:06:00
287,2845,296,2025-03-24 23:56:00,2025-03-25 02:26:00,0 days 02:30:00
288,1413,20,2025-06-17 07:05:00,2025-06-17 09:05:00,0 days 02:00:00
289,3029,271,2025-06-11 10:15:00,2025-06-11 12:22:00,0 days 02:07:00
290,2215,262,2025-06-08 00:11:00,2025-06-08 02:09:00,0 days 01:58:00
291,2446,23,2025-05-12 09:53:00,2025-05-12 12:09:00,0 days 02:16:00
292,4316,322,2025-05-31 11:50:00,2025-05-31 12:45:00,0 days 00:55:00
293,957,308,2025-05-18 11:39:00,2025-05-18 12:03:00,0 days 00:24:00
294,1190,140,2025-05-19 10:22:00,2025-05-19 11:26:00,0 days 01:04:00
295,2436,226,2025-06-05 20:47:00,2025-06-05 22:57:00,0 days 02:10:00
297,3482,16,2025-03-27 07:12:00,2025-03-27 07:28:00,0 days 00:16:00
298,764,219,2025-06-07 03:29:00,2025-06-07 06:11:00,0 days 02:42:00
300,1235,85,2025-05-01 06:19:00,2025-05-01 08:50:00,0 days 02:31:00
301,4724,332,2025-06-16 19:02:00,2025-06-16 20:09:00,0 days 01:07:00
302,3316,263,2025-05-04 21:44:00,2025-05-04 23:25:00,0 days 01:41:00
303,4950,131,2025-04-07 17:22:00,2025-04-07 18:05:00,0 days 00:43:00
305,3169,225,2025-05-07 20:51:00,2025-05-07 23:30:00,0 days 02:39:00
306,2950,74,2025-04-13 00:26:00,2025-04-13 02:44:00,0 days 02:18:00
308,4113,2,2025-06-01 21:31:00,2025-06-01 22:26:00,0 days 00:55:00
309,1161,112,2025-06-02 03:58:00,2025-06-02 06:34:00,0 days 02:36:00
310,496,248,2025-03-29 19:40:00,2025-03-29 22:35:00,0 days 02:55:00
311,431,168,2025-05-26 01:31:00,2025-05-26 02:31:00,0 days 01:00:00
312,4051,158,2025-04-25 11:43:00,2025-04-25 11:43:00,0 days 00:00:00
313,3699,292,2025-03-28 15:57:00,2025-03-28 17:47:00,0 days 01:50:00
314,128,303,2025-04-19 16:53:00,2025-04-19 19:10:00,0 days 02:17:00
315,1194,132,2025-06-11 13:28:00,2025-06-11 14:14:00,0 days 00:46:00
316,1981,120,2025-03-26 04:03:00,2025-03-26 06:34:00,0 days 02:31:00
317,2613,266,2025-06-17 13:28:00,2025-06-17 13:40:00,0 days 00:12:00
318,674,282,2025-04-24 22:55:00,2025-04-25 00:42:00,0 days 01:47:00
319,585,332,2025-04-25 06:29:00,2025-04-25 08:36:00,0 days 02:07:00
320,457,268,2025-06-05 14:38:00,2025-06-05 17:23:00,0 days 02:45:00
321,2689,152,2025-04-05 04:36:00,2025-04-05 07:22:00,0 days 02:46:00
322,598,208,2025-05-24 21:56:00,2025-05-24 22:35:00,0 days 00:39:00
324,4212,310,2025-06-08 02:04:00,2025-06-08 03:13:00,0 days 01:09:00
325,76,127,2025-03-28 10:42:00,2025-03-28 13:32:00,0 days 02:50:00
326,3319,99999,2025-05-11 12:19:00,2025-05-11 12:59:00,0 days 00:40:00
327,333,302,2025-05-17 22:17:00,2025-05-18 00:42:00,0 days 02:25:00
328,99999,290,2025-04-29 03:39:00,2025-04-29 06:33:00,0 days 02:54:00
330,4051,155,2025-04-29 06:47:00,2025-04-29 09:35:00,0 days 02:48:00
331,414,43,2025-05-29 06:13:00,2025-05-29 07:11:00,0 days 00:58:00
332,4924,14,2025-05-23 02:31:00,2025-05-23 05:10:00,0 days 02:39:00
333,4983,85,2025-04-27 09:24:00,2025-04-27 12:16:00,0 days 02:52:00
334,828,108,2025-04-12 08:57:00,2025-04-12 11:54:00,0 days 02:57:00
337,3641,119,2025-03-31 23:23:00,2025-04-01 01:23:00,0 days 02:00:00
338,4029,96,2025-05-31 10:50:00,2025-05-31 11:55:00,0 days 01:05:00
340,2483,268,2025-06-08 12:52:00,2025-06-08 15:35:00,0 days 02:43:00
343,1838,94,2025-06-07 17:27:00,2025-06-07 19:56:00,0 days 02:29:00
344,3686,126,2025-06-19 19:05:00,2025-06-19 21:38:00,0 days 02:33:00
345,650,332,2025-03-25 06:39:00,2025-03-25 07:14:00,0 days 00:35:00
346,3598,205,2025-05-09 06:21:00,2025-05-09 06:23:00,0 days 00:02:00
347,2650,92,2025-05-19 22:13:00,2025-05-19 22:21:00,0 days 00:08:00
348,946,66,2025-06-05 15:51:00,2025-06-05 18:14:00,0 days 02:23:00
349,3931,341,2025-06-18 23:14:00,2025-06-19 00:17:00,0 days 01:03:00
351,177,227,2025-05-07 16:28:00,2025-05-07 18:44:00,0 days 02:16:00
352,999,346,2025-05-27 10:15:00,2025-05-27 12:18:00,0 days 02:03:00
353,4094,300,2025-04-30 17:17:00,2025-04-30 19:47:00,0 days 02:30:00
354,3851,143,2025-06-08 15:47:00,2025-06-08 17:49:00,0 days 02:02:00
356,3806,239,2025-05-15 13:55:00,2025-05-15 15:39:00,0 days 01:44:00
357,4224,315,2025-04-17 18:11:00,2025-04-17 19:14:00,0 days 01:03:00
358,1692,212,2025-04-05 01:19:00,2025-04-05 02:55:00,0 days 01:36:00
359,3627,229,2025-05-18 05:26:00,2025-05-18 05:38:00,0 days 00:12:00
360,464,187,2025-05-21 14:28:00,2025-05-21 14:31:00,0 days 00:03:00
361,1745,7,2025-06-16 16:03:00,2025-06-16 18:01:00,0 days 01:58:00
362,4588,120,2025-05-25 20:16:00,2025-05-25 22:01:00,0 days 01:45:00
363,1393,282,2025-04-10 13:32:00,2025-04-10 15:16:00,0 days 01:44:00
364,515,181,2025-06-14 03:42:00,2025-06-14 06:30:00,0 days 02:48:00
366,3282,2,2025-04-14 11:49:00,2025-04-14 14:09:00,0 days 02:20:00
367,1949,74,2025-05-04 09:35:00,2025-05-04 10:36:00,0 days 01:01:00
368,4190,134,2025-05-24 14:58:00,2025-05-24 16:08:00,0 days 01:10:00
369,4754,20,2025-05-04 17:35:00,2025-05-04 18:00:00,0 days 00:25:00
370,1568,236,2025-04-05 04:19:00,2025-04-05 06:41:00,0 days 02:22:00
372,4578,266,2025-03-30 04:38:00,2025-03-30 07:36:00,0 days 02:58:00
373,565,334,2025-04-23 21:13:00,2025-04-23 22:31:00,0 days 01:18:00
374,4006,283,2025-04-03 16:21:00,2025-04-03 18:02:00,0 days 01:41:00
375,3300,295,2025-05-31 12:30:00,2025-05-31 15:05:00,0 days 02:35:00
376,244,268,2025-05-07 14:30:00,2025-05-07 16:25:00,0 days 01:55:00
377,1550,244,2025-05-28 13:51:00,2025-05-28 15:45:00,0 days 01:54:00
378,191,158,2025-03-29 07:29:00,2025-03-29 08:32:00,0 days 01:03:00
379,1383,164,2025-04-08 16:08:00,2025-04-08 18:20:00,0 days 02:12:00
